Corner,cap_scs,mos_scs,res_scs,vdd,vss,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Vout_Mid_Point,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
Proc_Vol_mid_0,tm,tm,tm,2.5,-2.5,12.67,22.05,113700000,52.42,3419000,1473,-0.1446,3.729e-08,2.467e-07,2.642e-07,-0.183,0.995,-1.361,501900000,-523500000,-44.74,-43.87,2.356
Proc_Vol_mid_1,tm,tm,tm,2.25,-2.5,12.22,21.74,94600000,55.11,3422000,1748,-0.3448,3.587e-08,2.568e-07,2.691e-07,-0.3514,0.7824,-1.485,322900000,-345800000,-59.83,-43.93,2.268
Proc_Vol_mid_2,tm,tm,tm,2.75,-2.5,12.47,21.91,131000000,50.44,3419000,1284,0.04824,3.901e-08,2.38e-07,2.607e-07,-0.01639,1.153,-1.186,645700000,-636500000,-40.25,-45.18,2.34
Proc_Vol_mid_3,tm,tm,tm,2.5,-2.25,12.2,21.73,113900000,53.33,3390000,1469,0.06402,3.736e-08,2.417e-07,2.602e-07,0.01547,1.146,-1.115,494300000,-516800000,-42.73,-43.79,2.261
Proc_Vol_mid_4,tm,tm,tm,2.25,-2.25,11.56,21.26,94310000,56.27,3399000,1752,-0.1318,3.622e-08,2.509e-07,2.661e-07,-0.1484,0.9236,-1.22,312800000,-333500000,-52.07,-44.41,2.144
Proc_Vol_mid_5,tm,tm,tm,2.75,-2.25,12.1,21.65,131600000,51.2,3385000,1275,0.2533,3.899e-08,2.342e-07,2.55e-07,0.1792,1.311,-0.9525,643800000,-635800000,-39.06,-45.03,2.263
Proc_Vol_mid_6,tm,tm,tm,2.5,-2.75,13.07,22.32,113800000,51.63,3442000,1475,-0.3569,3.725e-08,2.5e-07,2.697e-07,-0.3861,0.8323,-1.604,507100000,-528300000,-47.09,-43.89,2.437
Proc_Vol_mid_7,tm,tm,tm,2.25,-2.75,12.8,22.14,95040000,54.09,3442000,1742,-0.5603,3.564e-08,2.614e-07,2.727e-07,-0.5575,0.6305,-1.745,332100000,-357000000,-67.27,-43.56,2.376
Proc_Vol_mid_8,tm,tm,tm,2.75,-2.75,12.79,22.14,130700000,49.76,3446000,1290,-0.1623,3.904e-08,2.39e-07,2.69e-07,-0.2184,0.9837,-1.42,646900000,-635100000,-41.47,-45.2,2.404
Proc_Vol_mid_9,wp,tm,tm,2.5,-2.5,12.67,22.05,113700000,52.42,3419000,1473,-0.1446,3.729e-08,2.467e-07,2.642e-07,-0.183,0.995,-1.361,501900000,-523500000,-44.74,-43.87,2.356
